,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,54
1,2013,7,1499
2,2013,8,1917
3,2013,9,1952
4,2013,10,1697
5,2013,11,890
6,2013,12,529
7,2014,1,317
8,2014,2,234
9,2014,3,602
10,2014,4,1129
11,2014,5,1869
12,2014,6,2372
13,2014,7,2819
14,2014,8,2703
15,2014,9,939
16,2014,10,1691
17,2014,11,948
18,2014,12,810
19,2015,1,564
20,2015,2,337
21,2015,3,933
22,2015,4,1443
23,2015,5,2037
24,2015,6,2651
25,2015,7,3140
26,2015,8,2878
27,2015,9,2244
28,2015,10,1996
29,2015,11,1423
30,2015,12,961
31,2016,1,840
32,2016,2,1034
33,2016,3,1611
34,2016,4,1625
35,2016,5,2088
36,2016,6,2932
37,2016,7,2676
38,2016,8,2560
39,2016,9,2071
40,2016,10,1888
41,2016,11,1528
42,2016,12,684
