,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,49
1,2013,7,770
2,2013,8,1003
3,2013,9,984
4,2013,10,786
5,2013,11,296
6,2013,12,150
7,2014,1,86
8,2014,2,66
9,2014,3,231
10,2014,4,463
11,2014,5,833
12,2014,6,1071
13,2014,7,1402
14,2014,8,1166
15,2014,9,1073
16,2014,10,859
17,2014,11,363
18,2014,12,271
19,2015,1,143
20,2015,2,106
21,2015,3,378
22,2015,4,623
23,2015,5,849
24,2015,6,1149
25,2015,7,1430
26,2015,8,1467
27,2015,9,1194
28,2015,10,1062
29,2015,11,541
30,2015,12,354
31,2016,1,227
32,2016,2,392
33,2016,3,562
34,2016,4,702
35,2016,5,1011
36,2016,6,1283
37,2016,7,1178
38,2016,8,1050
39,2016,9,1102
40,2016,10,995
41,2016,11,696
42,2016,12,318
