,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,9,1.5814634554998312
1,2013,10,1.640936802078796
2,2013,11,1.7015510125378015
3,2013,12,1.6979982384663734
4,2014,1,1.7420562027861413
5,2014,2,1.9049759806711375
6,2014,3,1.6970827525428165
7,2014,4,1.6032387368404832
8,2014,5,1.5905149159768495
9,2014,6,1.533383752579738
10,2014,7,1.5994161074220563
11,2014,8,1.5442334630629553
12,2014,9,1.493783101783551
13,2014,10,1.551245882805902
14,2014,11,1.3955404944076846
15,2014,12,1.452486641931317
16,2015,1,1.3929842660365381
17,2015,2,1.2534306245766642
18,2015,3,1.3937553759413241
19,2015,4,1.5207387975937467
20,2015,5,1.5144925935215632
21,2015,6,1.5733569655350108
22,2015,7,1.5502118823823736
23,2015,8,1.5379764378713001
24,2015,9,1.5392237620943672
25,2015,10,1.5125365789678633
26,2015,11,1.514787184045677
27,2015,12,1.4537112624203905
28,2016,1,1.3820587631123558
29,2016,2,1.315863868695028
30,2016,3,1.435337356538578
31,2016,4,1.482280677728706
32,2016,5,1.5194197692319682
33,2016,6,1.53049694182563
34,2016,7,1.51949988925608
35,2016,8,1.5052779961661154
36,2016,9,1.4574542470903626
37,2016,10,1.4415694842778
38,2016,11,1.4781728491274237
39,2016,12,1.3090037942982928
