,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,1
1,2013,10,143
2,2013,11,184
3,2013,12,138
4,2014,1,79
5,2014,2,95
6,2014,3,198
7,2014,4,518
8,2014,5,725
9,2014,6,1193
10,2014,7,1385
11,2014,8,1270
12,2014,9,1158
13,2014,10,890
14,2014,11,471
15,2014,12,362
16,2015,1,271
17,2015,2,124
18,2015,3,389
19,2015,4,511
20,2015,5,917
21,2015,6,992
22,2015,7,1327
23,2015,8,1263
24,2015,9,1123
25,2015,10,837
26,2015,11,466
27,2015,12,306
28,2016,1,221
29,2016,2,286
30,2016,3,436
31,2016,4,513
32,2016,5,795
33,2016,6,1165
34,2016,7,1286
35,2016,8,1145
36,2016,9,1162
37,2016,10,948
38,2016,11,652
39,2016,12,283
