,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,36
1,2013,8,513
2,2013,9,504
3,2013,10,363
4,2013,11,219
5,2013,12,108
6,2014,1,76
7,2014,2,75
8,2014,3,190
9,2014,4,410
10,2014,5,641
11,2014,6,832
12,2014,7,1412
13,2014,8,570
14,2014,9,599
15,2014,10,720
16,2014,11,353
17,2014,12,242
18,2015,1,157
19,2015,2,111
20,2015,3,301
21,2015,4,487
22,2015,5,795
23,2015,6,913
24,2015,7,1591
25,2015,8,1132
26,2015,9,1243
27,2015,10,962
28,2015,11,642
29,2015,12,485
30,2016,1,284
31,2016,2,265
32,2016,3,560
33,2016,4,596
34,2016,5,945
35,2016,6,1143
36,2016,7,1654
37,2016,8,1090
38,2016,9,1176
39,2016,10,975
40,2016,11,726
41,2016,12,330
