,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,7,1.392765125308063
1,2013,8,1.5390656213677922
2,2013,9,1.5766670356056403
3,2013,10,1.2565073791179198
4,2013,11,1.0231509132835293
5,2013,12,0.9533137251222613
6,2014,1,1.0218828599593968
7,2014,2,1.2528386000746774
8,2014,3,1.2508167048004506
9,2014,4,1.356280344995891
10,2014,5,1.4479651986411404
11,2014,6,1.4204395685646634
12,2014,7,1.3794708419780393
13,2014,8,1.3023482864485374
14,2014,9,1.223753130984471
15,2014,10,1.260460908911191
16,2014,11,1.3197989413605533
17,2014,12,1.2458005049445766
18,2015,1,1.224814736003472
19,2015,2,1.225008564854885
20,2015,3,1.2984685488107546
21,2015,4,1.317785228258413
22,2015,5,1.4058159531118186
23,2015,6,1.343358877613685
24,2015,7,1.4069187950730688
25,2015,8,1.373095328911301
26,2015,9,1.3896366411596772
27,2015,10,1.3471861861596046
28,2015,11,1.3275793001691647
29,2015,12,1.2832888968983283
30,2016,1,1.366436425622729
31,2016,2,1.2832253562353744
32,2016,3,1.4087848745579936
33,2016,4,1.475474316214657
34,2016,5,1.462693970783262
35,2016,6,1.5281564374022505
36,2016,7,1.484280867315932
37,2016,8,1.4900437282515324
38,2016,9,1.465324220493429
39,2016,10,1.3554021364295192
40,2016,11,1.3896841686843309
41,2016,12,1.2924582732089982
