,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,626
1,2013,10,513
2,2013,11,248
3,2013,12,141
4,2014,1,71
5,2014,2,77
6,2014,3,276
7,2014,4,551
8,2014,5,908
9,2014,6,1340
10,2014,7,1654
11,2014,8,935
12,2014,9,528
13,2014,10,637
14,2014,11,418
15,2014,12,340
16,2015,1,230
17,2015,2,141
18,2015,3,451
19,2015,4,769
20,2015,5,1307
21,2015,6,1445
22,2015,7,2066
23,2015,8,2004
24,2015,9,1604
25,2015,10,1234
26,2015,11,620
27,2015,12,449
28,2016,1,335
29,2016,2,432
30,2016,3,774
31,2016,4,977
32,2016,5,1512
33,2016,6,2020
34,2016,7,2012
35,2016,8,1881
36,2016,9,1720
37,2016,10,1361
38,2016,11,873
39,2016,12,291
