,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,12
1,2013,7,244
2,2013,8,227
3,2013,10,30
4,2013,11,43
5,2013,12,14
6,2014,1,8
7,2014,3,9
8,2014,4,25
9,2014,5,121
10,2014,6,164
11,2014,7,285
12,2014,8,214
13,2014,9,201
14,2014,10,125
15,2014,11,46
16,2014,12,15
17,2015,1,20
18,2015,2,8
19,2015,3,65
20,2015,4,83
21,2015,5,114
22,2015,6,172
23,2015,7,224
24,2015,8,217
25,2015,9,260
26,2015,10,201
27,2015,11,117
28,2015,12,91
29,2016,1,56
30,2016,2,56
31,2016,3,98
32,2016,4,89
33,2016,5,167
34,2016,6,250
35,2016,7,209
36,2016,8,212
37,2016,9,273
38,2016,10,158
39,2016,11,140
40,2016,12,39
