,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,4,2.750212842824406
1,2015,5,1.832025222780564
2,2015,6,1.573585867041592
3,2015,7,1.7204819358961794
4,2015,8,1.6294828088339792
5,2015,9,1.3380513257699966
6,2015,10,1.4305806772469882
7,2015,11,1.3617986810009415
8,2015,12,1.1084799171047992
9,2016,1,1.8633620184924975
10,2016,2,1.6547401673421058
11,2016,3,1.8834375433429515
12,2016,4,1.7274026549196309
13,2016,5,1.8408356655939153
14,2016,6,1.8195897097767595
15,2016,7,1.93483555575839
16,2016,8,1.9778118186997475
17,2016,9,1.9079029285885052
18,2016,10,1.7488128533204716
19,2016,11,1.4826975017382593
20,2016,12,1.436231110135363
