,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,268
1,2013,10,389
2,2013,11,217
3,2013,12,169
4,2014,1,125
5,2014,2,82
6,2014,3,148
7,2014,4,403
8,2014,5,642
9,2014,6,743
10,2014,7,875
11,2014,8,907
12,2014,9,1072
13,2014,10,454
14,2014,11,279
15,2014,12,217
16,2015,1,110
17,2015,2,55
18,2015,3,196
19,2015,4,256
20,2015,5,344
21,2015,6,578
22,2015,7,916
23,2015,8,840
24,2015,9,739
25,2015,10,480
26,2015,11,331
27,2015,12,207
28,2016,1,104
29,2016,2,185
30,2016,3,369
31,2016,4,517
32,2016,5,645
33,2016,6,812
34,2016,7,881
35,2016,8,759
36,2016,9,760
37,2016,10,618
38,2016,11,453
39,2016,12,171
