,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,7,1.7385472255930663
1,2013,8,1.5356536747845528
2,2013,9,1.5669981776518003
3,2013,10,1.3373910447702333
4,2013,11,1.1345685394911895
5,2013,12,0.8009499148303925
6,2014,1,0.9941857330412913
7,2014,2,1.0115033759177317
8,2014,3,1.1291623812251688
9,2014,4,1.1650393041018439
10,2014,5,1.345577920995043
11,2014,6,1.3887945535184738
12,2014,7,1.536270748165841
13,2014,8,1.561687525807656
14,2014,9,1.5890413029915986
15,2014,10,1.4898318767307703
16,2014,11,1.313090291026777
17,2014,12,1.143628317169308
18,2015,1,1.5392618531031297
19,2015,2,1.6314527470994327
20,2015,3,1.5271553849002224
21,2015,4,1.4636832696104305
22,2015,5,1.5119664102804202
23,2015,6,1.4551074652153841
24,2015,7,1.4771824933432154
25,2015,8,1.6380958875303702
26,2015,9,1.4696892279792237
27,2015,10,1.547325484042505
28,2015,11,1.4385588587191438
29,2015,12,1.2180042562136921
30,2016,1,1.169793217289755
31,2016,2,1.2883037119097585
32,2016,3,1.4241126644369007
33,2016,4,1.2611220335493256
34,2016,5,1.4033801259868168
35,2016,6,1.471306238182856
36,2016,7,1.3602244396245413
37,2016,8,1.3632243168051872
38,2016,9,1.4987833064627667
39,2016,10,1.4502581550047369
40,2016,11,1.556119276357777
41,2016,12,1.3827608309424322
