,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,44
1,2013,8,485
2,2013,9,439
3,2013,10,251
4,2013,11,93
5,2013,12,54
6,2014,1,29
7,2014,2,16
8,2014,3,110
9,2014,4,376
10,2014,5,674
11,2014,6,836
12,2014,7,1050
13,2014,8,1051
14,2014,9,991
15,2014,10,733
16,2014,11,351
17,2014,12,213
18,2015,1,181
19,2015,2,57
20,2015,3,256
21,2015,4,366
22,2015,5,652
23,2015,6,1050
24,2015,7,1178
25,2015,8,1007
26,2015,9,767
27,2015,10,520
28,2015,11,338
29,2015,12,241
30,2016,1,202
31,2016,2,209
32,2016,3,347
33,2016,4,440
34,2016,5,594
35,2016,6,768
36,2016,7,905
37,2016,8,746
38,2016,9,713
39,2016,10,595
40,2016,11,452
41,2016,12,231
