,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,1264
1,2013,9,1895
2,2013,10,1993
3,2013,11,1116
4,2013,12,710
5,2014,1,432
6,2014,2,386
7,2014,3,900
8,2014,4,1870
9,2014,5,2758
10,2014,6,2922
11,2014,7,3332
12,2014,8,3056
13,2014,9,2476
14,2014,10,2871
15,2014,11,1588
16,2014,12,1240
17,2015,1,890
18,2015,2,583
19,2015,3,1321
20,2015,4,1649
21,2015,5,2204
22,2015,6,2998
23,2015,7,3572
24,2015,8,3508
25,2015,9,2936
26,2015,10,2625
27,2015,11,1837
28,2015,12,1451
29,2016,1,1158
30,2016,2,1691
31,2016,3,2099
32,2016,4,2260
33,2016,5,2869
34,2016,6,3637
35,2016,7,3208
36,2016,8,3575
37,2016,9,3213
38,2016,10,2717
39,2016,11,2443
40,2016,12,1360
