,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,5,1.7328126308816336
1,2015,6,1.8046952619318783
2,2015,7,2.0133648859617495
3,2015,8,1.5484837989838396
4,2015,9,1.4664112917214953
5,2015,10,1.5445880340770792
6,2015,11,1.379433791264983
7,2015,12,1.4310890791401554
8,2016,1,1.8069183099047772
9,2016,2,2.15155527643053
10,2016,3,1.7787478473601321
11,2016,4,2.0226291443533677
12,2016,5,1.8376072727412174
13,2016,6,1.9748038316149088
14,2016,7,1.9251211347384711
15,2016,8,1.9607325111209624
16,2016,9,1.8407836553244739
17,2016,10,1.7489480363212033
18,2016,11,1.5811558430862296
19,2016,12,1.3260615534499247
