,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,26
1,2013,8,310
2,2013,9,307
3,2013,10,238
4,2013,11,144
5,2013,12,40
6,2014,1,25
7,2014,2,31
8,2014,3,115
9,2014,4,207
10,2014,5,349
11,2014,6,328
12,2014,7,365
13,2014,8,319
14,2014,9,417
15,2014,10,418
16,2014,11,198
17,2014,12,173
18,2015,1,103
19,2015,2,61
20,2015,3,246
21,2015,4,326
22,2015,5,389
23,2015,6,527
24,2015,7,557
25,2015,8,646
26,2015,9,596
27,2015,10,478
28,2015,11,351
29,2015,12,258
30,2016,1,192
31,2016,2,194
32,2016,3,375
33,2016,4,446
34,2016,5,576
35,2016,6,709
36,2016,7,780
37,2016,8,775
38,2016,9,711
39,2016,10,641
40,2016,11,485
41,2016,12,166
