,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,1
1,2013,7,50
2,2013,9,212
3,2013,10,46
4,2013,11,30
5,2013,12,97
6,2014,1,78
7,2014,2,106
8,2014,3,248
9,2014,4,505
10,2014,5,1114
11,2014,6,1112
12,2014,7,1446
13,2014,8,1490
14,2014,9,1276
15,2014,10,971
16,2014,11,552
17,2014,12,528
18,2015,1,392
19,2015,2,149
20,2015,3,546
21,2015,4,765
22,2015,5,1245
23,2015,6,1698
24,2015,7,2114
25,2015,8,2359
26,2015,9,1931
27,2015,10,1510
28,2015,11,890
29,2015,12,641
30,2016,1,420
31,2016,2,578
32,2016,3,876
33,2016,4,1022
34,2016,5,1528
35,2016,6,2038
36,2016,7,2221
37,2016,8,2096
38,2016,9,1833
39,2016,10,1516
40,2016,11,966
41,2016,12,432
