,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,78
1,2013,9,715
2,2013,10,820
3,2013,11,400
4,2013,12,123
5,2014,1,96
6,2014,2,59
7,2014,3,297
8,2014,4,719
9,2014,5,1438
10,2014,6,1538
11,2014,7,2098
12,2014,8,1954
13,2014,9,1449
14,2014,10,989
15,2014,11,430
16,2014,12,402
17,2015,1,225
18,2015,2,220
19,2015,3,663
20,2015,4,872
21,2015,5,1115
22,2015,6,1832
23,2015,7,2409
24,2015,8,2194
25,2015,9,1642
26,2015,10,1102
27,2015,11,721
28,2015,12,461
29,2016,1,315
30,2016,2,407
31,2016,3,532
32,2016,4,814
33,2016,5,1149
34,2016,6,1661
35,2016,7,1943
36,2016,8,1631
37,2016,9,1243
38,2016,10,841
39,2016,11,612
40,2016,12,194
