,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,5,1.2505228439403768
1,2015,6,1.5363650500123651
2,2015,7,1.3683475858721605
3,2015,8,1.3375689505040596
4,2015,9,1.1908751529102797
5,2015,10,1.2275148622149186
6,2015,11,1.1649069836654111
7,2015,12,1.1113979573192414
8,2016,1,1.2546509709722
9,2016,2,1.0779159642860303
10,2016,3,1.2576414110024996
11,2016,4,1.195643917942042
12,2016,5,1.3760136669415937
13,2016,6,1.5474085209227442
14,2016,7,1.4043762830438202
15,2016,8,1.5091254997454375
16,2016,9,1.3671773283841668
17,2016,10,1.4631400376501615
18,2016,11,1.4267068317680063
19,2016,12,1.5458475240812497
