,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,143
1,2013,7,2080
2,2013,8,2989
3,2013,9,3379
4,2013,10,3133
5,2013,11,1546
6,2013,12,843
7,2014,1,513
8,2014,2,631
9,2014,3,1230
10,2014,4,2247
11,2014,5,1885
12,2014,6,3428
13,2014,7,4747
14,2014,8,4885
15,2014,9,4100
16,2014,10,3752
17,2014,11,1874
18,2014,12,1433
19,2015,1,1055
20,2015,2,547
21,2015,3,1574
22,2015,4,2165
23,2015,5,2817
24,2015,6,3732
25,2015,7,3979
26,2015,8,3628
27,2015,9,3129
28,2015,10,2845
29,2015,11,1688
30,2015,12,1340
31,2016,1,872
32,2016,2,1090
33,2016,3,1774
34,2016,4,1942
35,2016,5,2763
36,2016,6,3203
37,2016,7,3336
38,2016,8,3148
39,2016,9,2897
40,2016,10,2709
41,2016,11,2165
42,2016,12,1165
