,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,3
1,2013,7,77
2,2013,8,1768
3,2013,9,1571
4,2013,10,930
5,2013,11,322
6,2013,12,133
7,2014,1,62
8,2014,2,72
9,2014,3,258
10,2014,4,1181
11,2014,5,1778
12,2014,6,2557
13,2014,7,2865
14,2014,8,2454
15,2014,9,1662
16,2014,10,555
17,2014,11,317
18,2014,12,181
19,2015,1,230
20,2015,2,76
21,2015,3,385
22,2015,4,839
23,2015,5,1310
24,2015,6,1641
25,2015,7,1893
26,2015,8,1855
27,2015,9,1729
28,2015,10,1215
29,2015,11,515
30,2015,12,332
31,2016,1,206
32,2016,2,303
33,2016,3,520
34,2016,4,869
35,2016,5,1271
36,2016,6,1750
37,2016,7,1833
38,2016,8,1672
39,2016,9,1426
40,2016,10,1395
41,2016,11,843
42,2016,12,180
