,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,396
1,2013,10,336
2,2013,11,163
3,2013,12,57
4,2014,1,20
5,2014,2,39
6,2014,3,122
7,2014,4,295
8,2014,5,518
9,2014,6,669
10,2014,7,899
11,2014,8,708
12,2014,9,683
13,2014,10,436
14,2014,11,281
15,2014,12,235
16,2015,1,167
17,2015,2,97
18,2015,3,248
19,2015,4,349
20,2015,5,605
21,2015,6,892
22,2015,7,1247
23,2015,8,1096
24,2015,9,1083
25,2015,10,836
26,2015,11,502
27,2015,12,269
28,2016,1,260
29,2016,2,279
30,2016,3,428
31,2016,4,505
32,2016,5,951
33,2016,6,1177
34,2016,7,1314
35,2016,8,1019
36,2016,9,1159
37,2016,10,950
38,2016,11,630
39,2016,12,222
