,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,60
1,2013,7,1556
2,2013,8,2705
3,2013,9,2954
4,2013,10,2624
5,2013,11,1416
6,2013,12,848
7,2014,1,519
8,2014,2,501
9,2014,3,1046
10,2014,4,2109
11,2014,5,3188
12,2014,6,3929
13,2014,7,4206
14,2014,8,4587
15,2014,9,4330
16,2014,10,3701
17,2014,11,2019
18,2014,12,1547
19,2015,1,1107
20,2015,2,706
21,2015,3,1726
22,2015,4,2468
23,2015,5,3176
24,2015,6,3848
25,2015,7,4501
26,2015,8,4688
27,2015,9,4474
28,2015,10,4172
29,2015,11,2917
30,2015,12,2258
31,2016,1,1892
32,2016,2,2243
33,2016,3,2994
34,2016,4,3353
35,2016,5,4481
36,2016,6,5440
37,2016,7,4911
38,2016,8,5380
39,2016,9,4117
40,2016,10,3633
41,2016,11,3018
42,2016,12,1611
