,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,562
1,2013,9,779
2,2013,10,734
3,2013,11,396
4,2013,12,207
5,2014,1,92
6,2014,2,123
7,2014,3,258
8,2014,4,524
9,2014,5,963
10,2014,6,1409
11,2014,7,1425
12,2014,8,1513
13,2014,9,1292
14,2014,10,1117
15,2014,11,598
16,2014,12,499
17,2015,1,264
18,2015,2,199
19,2015,3,485
20,2015,4,858
21,2015,5,952
22,2015,6,1071
23,2015,7,1441
24,2015,8,1505
25,2015,9,1375
26,2015,10,1128
27,2015,11,781
28,2015,12,499
29,2016,1,360
30,2016,2,456
31,2016,3,720
32,2016,4,873
33,2016,5,1200
34,2016,6,1611
35,2016,7,1437
36,2016,8,1586
37,2016,9,1392
38,2016,10,1081
39,2016,11,806
40,2016,12,340
