,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,10,12
1,2013,11,29
2,2013,12,14
3,2014,1,9
4,2014,2,6
5,2014,3,10
6,2014,4,29
7,2014,5,67
8,2014,6,58
9,2014,7,63
10,2014,8,122
11,2014,9,93
12,2014,10,84
13,2014,11,49
14,2014,12,29
15,2015,1,21
16,2015,2,8
17,2015,3,68
18,2015,4,36
19,2015,5,107
20,2015,6,182
21,2015,7,249
22,2015,8,351
23,2015,9,264
24,2015,10,218
25,2015,11,148
26,2015,12,95
27,2016,1,61
28,2016,2,65
29,2016,3,121
30,2016,4,132
31,2016,5,164
32,2016,6,191
33,2016,7,259
34,2016,8,268
35,2016,9,180
36,2016,10,140
37,2016,11,117
38,2016,12,47
