,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,159
1,2013,8,1197
2,2013,9,1109
3,2013,10,839
4,2013,11,423
5,2013,12,240
6,2014,1,157
7,2014,2,158
8,2014,3,410
9,2014,4,885
10,2014,5,1376
11,2014,6,1717
12,2014,7,2153
13,2014,8,1970
14,2014,9,1650
15,2014,10,1437
16,2014,11,659
17,2014,12,534
18,2015,1,382
19,2015,2,249
20,2015,3,727
21,2015,4,1050
22,2015,5,1333
23,2015,6,1623
24,2015,7,2048
25,2015,8,1787
26,2015,9,1632
27,2015,10,1284
28,2015,11,728
29,2015,12,469
30,2016,1,395
31,2016,2,485
32,2016,3,862
33,2016,4,992
34,2016,5,1470
35,2016,6,1994
36,2016,7,1953
37,2016,8,1778
38,2016,9,1743
39,2016,10,1303
40,2016,11,1048
41,2016,12,350
