,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,17
1,2013,8,74
2,2013,9,64
3,2013,10,35
4,2013,11,7
5,2013,12,8
6,2014,1,3
7,2014,2,6
8,2014,3,6
9,2014,4,27
10,2014,5,59
11,2014,6,79
12,2014,7,134
13,2014,8,96
14,2014,9,123
15,2014,10,72
16,2014,11,28
17,2014,12,21
18,2015,1,10
19,2015,2,12
20,2015,3,22
21,2015,4,55
22,2015,5,76
23,2015,6,106
24,2015,7,106
25,2015,8,102
26,2015,9,67
27,2015,10,65
28,2015,11,49
29,2015,12,12
30,2016,1,11
31,2016,2,8
32,2016,3,28
33,2016,4,53
34,2016,5,114
35,2016,6,103
36,2016,7,143
37,2016,8,93
38,2016,9,101
39,2016,10,66
40,2016,11,44
41,2016,12,8
