,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,140
1,2013,8,1575
2,2013,9,1982
3,2013,10,1241
4,2013,11,759
5,2013,12,430
6,2014,1,232
7,2014,2,293
8,2014,3,603
9,2014,4,1292
10,2014,5,2261
11,2014,6,2885
12,2014,7,2739
13,2014,8,2758
14,2014,9,2254
15,2014,10,1654
16,2014,11,969
17,2014,12,705
18,2015,1,454
19,2015,2,288
20,2015,3,891
21,2015,4,1390
22,2015,5,2132
23,2015,6,2448
24,2015,7,3002
25,2015,8,2660
26,2015,9,2442
27,2015,10,1775
28,2015,11,1107
29,2015,12,792
30,2016,1,668
31,2016,2,781
32,2016,3,1094
33,2016,4,1507
34,2016,5,2124
35,2016,6,3067
36,2016,7,2833
37,2016,8,2592
38,2016,9,2467
39,2016,10,1995
40,2016,11,1431
41,2016,12,691
