,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,8,1.5752288796392198
1,2013,9,1.6015920847951801
2,2013,10,1.5676900406345529
3,2013,11,1.4655507923139204
4,2013,12,1.3678088583595713
5,2014,1,1.2430349200592499
6,2014,2,1.5128718099391585
7,2014,3,1.565232104076138
8,2014,4,1.4544885236344205
9,2014,5,1.4903280288735772
10,2014,6,1.5981290727139563
11,2014,7,1.562495593860848
12,2014,8,1.5170003945259052
13,2014,9,1.5569814866990257
14,2014,10,1.4119362951697423
15,2014,11,1.2946592185502255
16,2014,12,1.2926279137248093
17,2015,1,1.0920220177354965
18,2015,2,1.1682857819826324
19,2015,3,1.3181012825339562
20,2015,4,1.3699113696061522
21,2015,5,1.4721005092237895
22,2015,6,1.512304823790727
23,2015,7,1.5019337776261328
24,2015,8,1.5811261335381226
25,2015,9,1.5547234968233172
26,2015,10,1.4453661582482078
27,2015,11,1.5230105819294595
28,2015,12,1.393725942086353
29,2016,1,1.2443245979270459
30,2016,2,1.299703511440205
31,2016,3,1.501537840277062
32,2016,4,1.649947992206351
33,2016,5,1.644793224284486
34,2016,6,1.687080584541434
35,2016,7,1.6180389362584584
36,2016,8,1.6330731959177842
37,2016,9,1.5452791096127356
38,2016,10,1.5844283529158234
39,2016,11,1.4422207950164851
40,2016,12,1.299916215150367
