,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,132
1,2013,7,1739
2,2013,8,2806
3,2013,9,2760
4,2013,10,2207
5,2013,11,1128
6,2013,12,523
7,2014,1,247
8,2014,2,334
9,2014,3,914
10,2014,4,2202
11,2014,5,3536
12,2014,6,4180
13,2014,7,4914
14,2014,8,4632
15,2014,9,4023
16,2014,10,2697
17,2014,11,1007
18,2014,12,503
19,2015,1,771
20,2015,2,460
21,2015,3,1496
22,2015,4,2196
23,2015,5,3145
24,2015,6,4136
25,2015,7,6059
26,2015,8,5643
27,2015,9,4769
28,2015,10,3669
29,2015,11,1980
30,2015,12,1306
31,2016,1,973
32,2016,2,1138
33,2016,3,2051
34,2016,4,2707
35,2016,5,4186
36,2016,6,5416
37,2016,7,5720
38,2016,8,5214
39,2016,9,4927
40,2016,10,3947
41,2016,11,2667
42,2016,12,970
