,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,80
1,2013,7,1203
2,2013,8,2015
3,2013,9,2188
4,2013,10,1538
5,2013,11,770
6,2013,12,324
7,2014,1,176
8,2014,2,160
9,2014,3,430
10,2014,4,1152
11,2014,5,1932
12,2014,6,2212
13,2014,7,2863
14,2014,8,2868
15,2014,9,2395
16,2014,10,1872
17,2014,11,745
18,2014,12,712
19,2015,1,483
20,2015,2,254
21,2015,3,758
22,2015,4,1320
23,2015,5,2283
24,2015,6,2509
25,2015,7,3450
26,2015,8,3266
27,2015,9,2774
28,2015,10,2141
29,2015,11,1231
30,2015,12,866
31,2016,1,549
32,2016,2,695
33,2016,3,1043
34,2016,4,1445
35,2016,5,2167
36,2016,6,2740
37,2016,7,2907
38,2016,8,2918
39,2016,9,2834
40,2016,10,2066
41,2016,11,1512
42,2016,12,545
