,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,2742
1,2013,9,3698
2,2013,10,3503
3,2013,11,1806
4,2013,12,869
5,2014,1,436
6,2014,2,529
7,2014,3,1261
8,2014,4,2571
9,2014,5,4202
10,2014,6,5499
11,2014,7,6393
12,2014,8,6580
13,2014,9,5020
14,2014,10,4070
15,2014,11,2132
16,2014,12,1753
17,2015,1,583
18,2015,2,683
19,2015,3,1605
20,2015,4,2522
21,2015,5,3395
22,2015,6,4773
23,2015,7,5687
24,2015,8,5591
25,2015,9,5082
26,2015,10,3722
27,2015,11,2374
28,2015,12,1758
29,2016,1,1495
30,2016,2,1665
31,2016,3,2446
32,2016,4,2883
33,2016,5,4475
34,2016,6,5722
35,2016,7,5849
36,2016,8,5902
37,2016,9,4821
38,2016,10,4022
39,2016,11,2912
40,2016,12,1608
