,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,4,9.358333333333334
1,2015,5,31.318115942028978
2,2015,6,108.7375
3,2015,7,41.649404761904755
4,2015,8,21.38253968253968
5,2015,9,22.28212121212121
6,2015,10,13.177272727272731
7,2015,11,12.849999999999998
8,2015,12,8.778205128205126
9,2016,1,28.45
10,2016,2,5.527777777777778
11,2016,3,6.222222222222221
12,2016,4,15.985897435897435
13,2016,5,10.783333333333333
14,2016,6,18.107971014492755
15,2016,7,22.20192307692307
16,2016,8,20.648333333333333
17,2016,9,14.538652482269507
18,2016,10,32.12797619047618
19,2016,11,9.164880952380953
20,2016,12,9.476190476190478
