,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,242
1,2013,8,2257
2,2013,9,2265
3,2013,10,1059
4,2013,11,259
5,2013,12,57
6,2014,1,18
7,2014,2,32
8,2014,3,264
9,2014,4,696
10,2014,5,2850
11,2014,6,3403
12,2014,7,3843
13,2014,8,3898
14,2014,9,2587
15,2014,10,1219
16,2014,11,297
17,2014,12,150
18,2015,1,96
19,2015,2,30
20,2015,3,550
21,2015,4,1175
22,2015,5,2268
23,2015,6,3401
24,2015,7,4474
25,2015,8,3837
26,2015,9,2990
27,2015,10,1310
28,2015,11,755
29,2015,12,221
30,2016,1,101
31,2016,2,291
32,2016,3,680
33,2016,4,1281
34,2016,5,2665
35,2016,6,3094
36,2016,7,3908
37,2016,8,3597
38,2016,9,2753
39,2016,10,1460
40,2016,11,622
41,2016,12,82
