,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,710
1,2013,10,1510
2,2013,11,1041
3,2013,12,574
4,2014,1,422
5,2014,2,460
6,2014,3,936
7,2014,4,1874
8,2014,5,2796
9,2014,6,3354
10,2014,7,3668
11,2014,8,3667
12,2014,9,2394
13,2014,10,3137
14,2014,11,1623
15,2014,12,1338
16,2015,1,977
17,2015,2,702
18,2015,3,1373
19,2015,4,2145
20,2015,5,2799
21,2015,6,3448
22,2015,7,4067
23,2015,8,3760
24,2015,9,3315
25,2015,10,3087
26,2015,11,2110
27,2015,12,1590
28,2016,1,1300
29,2016,2,1658
30,2016,3,2567
31,2016,4,2929
32,2016,5,3522
33,2016,6,4082
34,2016,7,3800
35,2016,8,4255
36,2016,9,3797
37,2016,10,3282
38,2016,11,2454
39,2016,12,1339
