,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,46
1,2013,8,639
2,2013,9,839
3,2013,10,701
4,2013,11,367
5,2013,12,138
6,2014,1,100
7,2014,2,80
8,2014,3,226
9,2014,4,659
10,2014,5,1219
11,2014,6,1338
12,2014,7,1440
13,2014,8,1250
14,2014,9,968
15,2014,10,748
16,2014,11,324
17,2014,12,222
18,2015,1,143
19,2015,2,87
20,2015,3,291
21,2015,4,577
22,2015,5,963
23,2015,6,1369
24,2015,7,1758
25,2015,8,1753
26,2015,9,1451
27,2015,10,1010
28,2015,11,594
29,2015,12,405
30,2016,1,248
31,2016,2,324
32,2016,3,667
33,2016,4,746
34,2016,5,1197
35,2016,6,1639
36,2016,7,1753
37,2016,8,1526
38,2016,9,1250
39,2016,10,1022
40,2016,11,794
41,2016,12,241
