,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,37
1,2013,7,712
2,2013,8,947
3,2013,9,794
4,2013,10,468
5,2013,11,269
6,2013,12,127
7,2014,1,59
8,2014,2,53
9,2014,3,157
10,2014,4,464
11,2014,5,717
12,2014,6,1223
13,2014,7,1672
14,2014,8,1156
15,2014,9,1105
16,2014,10,1003
17,2014,11,412
18,2014,12,219
19,2015,1,143
20,2015,2,81
21,2015,3,221
22,2015,4,413
23,2015,5,756
24,2015,6,1799
25,2015,7,2021
26,2015,8,1207
27,2015,9,1089
28,2015,10,805
29,2015,11,459
30,2015,12,252
31,2016,1,228
32,2016,2,342
33,2016,3,334
34,2016,4,483
35,2016,5,570
36,2016,6,1055
37,2016,7,1108
38,2016,8,880
39,2016,9,946
40,2016,10,863
41,2016,11,700
42,2016,12,221
