,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,319
1,2013,10,594
2,2013,11,239
3,2013,12,105
4,2014,1,58
5,2014,2,73
6,2014,3,154
7,2014,4,459
8,2014,5,882
9,2014,6,1464
10,2014,7,1727
11,2014,8,1329
12,2014,9,959
13,2014,10,830
14,2014,11,368
15,2014,12,282
16,2015,1,173
17,2015,2,72
18,2015,3,346
19,2015,4,622
20,2015,5,1067
21,2015,6,1557
22,2015,7,2071
23,2015,8,1405
24,2015,9,1118
25,2015,10,875
26,2015,11,772
27,2015,12,504
28,2016,1,435
29,2016,2,532
30,2016,3,773
31,2016,4,1046
32,2016,5,1499
33,2016,6,1887
34,2016,7,1949
35,2016,8,1508
36,2016,9,1465
37,2016,10,1300
38,2016,11,982
39,2016,12,334
