,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,31
1,2013,7,318
2,2013,8,823
3,2013,9,1151
4,2013,10,1013
5,2013,11,560
6,2013,12,252
7,2014,1,234
8,2014,2,213
9,2014,3,382
10,2014,4,659
11,2014,5,964
12,2014,6,1174
13,2014,7,1449
14,2014,8,1570
15,2014,9,1737
16,2014,10,1573
17,2014,11,636
18,2014,12,326
19,2015,1,344
20,2015,2,191
21,2015,3,544
22,2015,4,864
23,2015,5,1070
24,2015,6,1379
25,2015,7,1646
26,2015,8,1749
27,2015,9,1686
28,2015,10,1549
29,2015,11,1004
30,2015,12,471
31,2016,1,565
32,2016,2,656
33,2016,3,861
34,2016,4,1042
35,2016,5,1304
36,2016,6,1652
37,2016,7,1628
38,2016,8,1813
39,2016,9,1821
40,2016,10,1689
41,2016,11,1244
42,2016,12,406
