,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,8,23.75221402214024
1,2013,9,17.64965529127885
2,2013,10,14.98143781784556
3,2013,11,14.468156199677948
4,2013,12,10.275268817204305
5,2014,1,14.173918575063606
6,2014,2,19.32694235588973
7,2014,3,11.3359681372549
8,2014,4,13.090284757118917
9,2014,5,18.084142246642234
10,2014,6,16.23132222222221
11,2014,7,15.573026048026053
12,2014,8,15.514916860015472
13,2014,9,12.81167039522744
14,2014,10,13.259468223086902
15,2014,11,13.352114695340493
16,2014,12,11.508999999999993
17,2015,1,11.210939510939513
18,2015,2,12.877426160337546
19,2015,3,12.191829268292674
20,2015,4,12.847019464720196
21,2015,5,15.182413621675355
22,2015,6,15.298141627543043
23,2015,7,14.364311842706918
24,2015,8,15.694839297548025
25,2015,9,15.459646581691816
26,2015,10,11.869257156375674
27,2015,11,13.91330390920555
28,2015,12,10.066841736694675
29,2016,1,11.017317317317316
30,2016,2,14.343887297039153
31,2016,3,14.112066473988438
32,2016,4,13.620171513795672
33,2016,5,13.059203296703277
34,2016,6,14.544992922859151
35,2016,7,15.830859893758294
36,2016,8,15.18581791802684
37,2016,9,14.16984983079527
38,2016,10,13.791532846715306
39,2016,11,14.054261057173692
40,2016,12,13.46981037924152
