,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,271
1,2013,9,967
2,2013,10,721
3,2013,11,414
4,2013,12,186
5,2014,1,131
6,2014,2,133
7,2014,3,272
8,2014,4,597
9,2014,5,1092
10,2014,6,1500
11,2014,7,1638
12,2014,8,1724
13,2014,9,1341
14,2014,10,1028
15,2014,11,465
16,2014,12,350
17,2015,1,259
18,2015,2,158
19,2015,3,410
20,2015,4,822
21,2015,5,1341
22,2015,6,1704
23,2015,7,2187
24,2015,8,2012
25,2015,9,1726
26,2015,10,1409
27,2015,11,793
28,2015,12,476
29,2016,1,333
30,2016,2,349
31,2016,3,692
32,2016,4,894
33,2016,5,1456
34,2016,6,1884
35,2016,7,2008
36,2016,8,1838
37,2016,9,1576
38,2016,10,1370
39,2016,11,927
40,2016,12,334
