,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,5
1,2013,8,1278
2,2013,9,3852
3,2013,10,2694
4,2013,11,899
5,2013,12,395
6,2014,1,247
7,2014,2,209
8,2014,3,708
9,2014,4,1499
10,2014,5,2655
11,2014,6,3237
12,2014,7,4050
13,2014,8,3684
14,2014,9,3275
15,2014,10,2213
16,2014,11,994
17,2014,12,654
18,2015,1,482
19,2015,2,234
20,2015,3,972
21,2015,4,1665
22,2015,5,2650
23,2015,6,3227
24,2015,7,4133
25,2015,8,3885
26,2015,9,3429
27,2015,10,2549
28,2015,11,1689
29,2015,12,962
30,2016,1,644
31,2016,2,899
32,2016,3,1321
33,2016,4,1733
34,2016,5,2575
35,2016,6,3609
36,2016,7,4103
37,2016,8,3915
38,2016,9,3351
39,2016,10,2558
40,2016,11,1695
41,2016,12,519
