,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,63
1,2013,8,536
2,2013,9,331
3,2013,10,226
4,2013,11,73
5,2013,12,45
6,2014,1,6
7,2014,2,8
8,2014,3,33
9,2014,4,81
10,2014,5,271
11,2014,6,392
12,2014,7,410
13,2014,8,490
14,2014,9,325
15,2014,10,261
16,2014,11,54
17,2014,12,53
18,2015,1,45
19,2015,2,9
20,2015,3,113
21,2015,4,200
22,2015,5,419
23,2015,6,517
24,2015,7,592
25,2015,8,500
26,2015,9,481
27,2015,10,305
28,2015,11,194
29,2015,12,123
30,2016,1,77
31,2016,2,154
32,2016,3,169
33,2016,4,280
34,2016,5,439
35,2016,6,448
36,2016,7,587
37,2016,8,515
38,2016,9,444
39,2016,10,360
40,2016,11,237
41,2016,12,39
