,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,96
1,2013,7,1057
2,2013,8,1640
3,2013,9,1835
4,2013,10,1592
5,2013,11,1073
6,2013,12,616
7,2014,1,334
8,2014,2,381
9,2014,3,682
10,2014,4,1382
11,2014,5,1910
12,2014,6,2431
13,2014,7,2630
14,2014,8,2557
15,2014,9,2345
16,2014,10,2133
17,2014,11,1118
18,2014,12,873
19,2015,1,612
20,2015,2,401
21,2015,3,957
22,2015,4,1554
23,2015,5,2087
24,2015,6,2614
25,2015,7,3002
26,2015,8,3104
27,2015,9,2786
28,2015,10,2150
29,2015,11,1550
30,2015,12,1006
31,2016,1,754
32,2016,2,997
33,2016,3,1316
34,2016,4,1431
35,2016,5,2104
36,2016,6,2580
37,2016,7,2487
38,2016,8,2487
39,2016,9,2424
40,2016,10,2140
41,2016,11,1619
42,2016,12,715
