,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,471
1,2013,10,866
2,2013,11,447
3,2013,12,221
4,2014,1,130
5,2014,2,139
6,2014,3,411
7,2014,4,920
8,2014,5,1725
9,2014,6,2144
10,2014,7,2202
11,2014,8,2420
12,2014,9,2092
13,2014,10,1275
14,2014,11,554
15,2014,12,440
16,2015,1,293
17,2015,2,162
18,2015,3,560
19,2015,4,1056
20,2015,5,1732
21,2015,6,2321
22,2015,7,2983
23,2015,8,3113
24,2015,9,2255
25,2015,10,1790
26,2015,11,1126
27,2015,12,669
28,2016,1,451
29,2016,2,540
30,2016,3,993
31,2016,4,1104
32,2016,5,1805
33,2016,6,2581
34,2016,7,2477
35,2016,8,2236
36,2016,9,2200
37,2016,10,1504
38,2016,11,1094
39,2016,12,428
