,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,91
1,2013,7,1696
2,2013,8,2368
3,2013,9,2835
4,2013,10,2308
5,2013,11,1284
6,2013,12,689
7,2014,1,438
8,2014,2,403
9,2014,3,820
10,2014,4,1666
11,2014,5,2754
12,2014,6,3470
13,2014,7,4053
14,2014,8,3710
15,2014,9,3361
16,2014,10,2987
17,2014,11,1685
18,2014,12,1311
19,2015,1,916
20,2015,2,641
21,2015,3,1438
22,2015,4,2076
23,2015,5,2989
24,2015,6,3906
25,2015,7,4693
26,2015,8,4748
27,2015,9,4228
28,2015,10,3663
29,2015,11,2265
30,2015,12,1572
31,2016,1,1320
32,2016,2,1545
33,2016,3,2203
34,2016,4,2688
35,2016,5,3661
36,2016,6,4873
37,2016,7,4788
38,2016,8,4756
39,2016,9,4310
40,2016,10,3638
41,2016,11,2738
42,2016,12,1292
