,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,14
1,2013,7,733
2,2013,8,2969
3,2013,9,3285
4,2013,10,3356
5,2013,11,1740
6,2013,12,897
7,2014,1,447
8,2014,2,477
9,2014,3,1061
10,2014,4,2425
11,2014,5,4149
12,2014,6,5511
13,2014,7,6057
14,2014,8,5620
15,2014,9,3312
16,2014,10,3347
17,2014,11,1539
18,2014,12,1168
19,2015,1,709
20,2015,2,431
21,2015,3,1457
22,2015,4,2127
23,2015,5,3633
24,2015,6,4858
25,2015,7,5558
26,2015,8,5149
27,2015,9,4460
28,2015,10,3768
29,2015,11,2116
30,2015,12,1351
31,2016,1,1098
32,2016,2,1300
33,2016,3,2237
34,2016,4,2477
35,2016,5,3868
36,2016,6,4607
37,2016,7,6043
38,2016,8,5751
39,2016,9,5238
40,2016,10,4426
41,2016,11,3246
42,2016,12,1305
