,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,194
1,2013,10,225
2,2013,11,113
3,2013,12,27
4,2014,1,9
5,2014,2,10
6,2014,3,67
7,2014,4,360
8,2014,5,740
9,2014,6,807
10,2014,7,1030
11,2014,8,763
12,2014,9,644
13,2014,10,283
14,2014,11,62
15,2014,12,34
16,2015,1,19
17,2015,2,31
18,2015,3,113
19,2015,4,332
20,2015,5,258
21,2015,6,682
22,2015,7,1355
23,2015,8,1293
24,2015,9,1076
25,2015,10,521
26,2015,11,312
27,2015,12,127
28,2016,1,80
29,2016,2,151
30,2016,3,271
31,2016,4,320
32,2016,5,563
33,2016,6,804
34,2016,7,1046
35,2016,8,800
36,2016,9,779
37,2016,10,465
38,2016,11,272
39,2016,12,79
