,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,9,25.483161170705895
1,2013,10,24.274165959853043
2,2013,11,21.438972746331224
3,2013,12,18.640689013035388
4,2014,1,19.816111111111113
5,2014,2,17.76761904761905
6,2014,3,20.920687418936453
7,2014,4,24.200380544654575
8,2014,5,24.52645282010158
9,2014,6,24.139692724807947
10,2014,7,24.11531639228555
11,2014,8,23.297608206416623
12,2014,9,22.086657129232265
13,2014,10,22.452861952861905
14,2014,11,18.764356213548677
15,2014,12,17.738790560471976
16,2015,1,17.67711213517665
17,2015,2,16.41904761904762
18,2015,3,22.065808911127004
19,2015,4,21.937226992016843
20,2015,5,25.715800928612897
21,2015,6,24.497431289640538
22,2015,7,24.349488620315473
23,2015,8,24.26062530799977
24,2015,9,23.966079408212643
25,2015,10,22.595979232069606
26,2015,11,21.80610119047621
27,2015,12,20.43379888268158
28,2016,1,19.54354497354496
29,2016,2,22.865855676928124
30,2016,3,23.60987622485819
31,2016,4,26.177696513002292
32,2016,5,25.34692510169891
33,2016,6,24.440488596888645
34,2016,7,24.123747151712173
35,2016,8,23.88094200675042
36,2016,9,22.822334996757668
37,2016,10,22.729835045129175
38,2016,11,24.12592235505853
39,2016,12,18.308431372549016
