,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,22.833333333333332
1,2013,7,31.01710151446993
2,2013,8,29.157484841326053
3,2013,9,25.988908507223083
4,2013,10,22.82871771358701
5,2013,11,19.577123442808603
6,2013,12,13.913570822731128
7,2014,1,12.068309859154933
8,2014,2,11.319298245614043
9,2014,3,18.74606135986731
10,2014,4,23.069772107205893
11,2014,5,25.06638987742191
12,2014,6,23.92123739178782
13,2014,7,23.053491620111693
14,2014,8,23.48729430944014
15,2014,9,21.55008867392183
16,2014,10,17.272974924510965
17,2014,11,15.37437308868499
18,2014,12,15.782360097323615
19,2015,1,14.166969696969696
20,2015,2,12.431752873563221
21,2015,3,19.735107334525946
22,2015,4,19.78806176783816
23,2015,5,26.506101272827856
24,2015,6,23.997249849306773
25,2015,7,25.281128212369534
26,2015,8,24.34848579782793
27,2015,9,23.669586374695854
28,2015,10,20.959020013802615
29,2015,11,17.58706265256305
30,2015,12,14.432136015325696
31,2016,1,16.820468509984636
32,2016,2,19.16193910256409
33,2016,3,21.732121212121204
34,2016,4,25.12756518476833
35,2016,5,26.35254961411249
36,2016,6,23.88162557490762
37,2016,7,24.88272705868498
38,2016,8,24.56234666060876
39,2016,9,23.156064654020835
40,2016,10,22.184624277456685
41,2016,11,20.43119813802875
42,2016,12,14.488002726653027
