,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,7,3.2295190352495973
1,2013,8,1.9076039707402603
2,2013,9,1.8611946173781073
3,2013,10,1.778537322596954
4,2013,11,1.6364069845916769
5,2013,12,1.7361836344246822
6,2014,1,1.583389192030326
7,2014,2,1.48281045552197
8,2014,3,1.5866559535246543
9,2014,4,1.685448871394333
10,2014,5,1.680733057225162
11,2014,6,1.7369578762699787
12,2014,7,1.693383285356021
13,2014,8,1.653835057383508
14,2014,9,1.7509446278926541
15,2014,10,1.7625462622458112
16,2014,11,1.572110182489498
17,2014,12,1.5411744486991878
18,2015,1,1.3949913979681465
19,2015,2,1.4766309023381228
20,2015,3,1.6778779764552367
21,2015,4,1.7067166361077069
22,2015,5,1.6906586396815169
23,2015,6,1.7756828435876246
24,2015,7,1.7625512017912741
25,2015,8,1.7812798308063613
26,2015,9,1.7170601283100757
27,2015,10,1.8748995975263119
28,2015,11,1.851292101711285
29,2015,12,1.87755978676551
30,2016,1,1.7715135833325153
31,2016,2,1.6153448985798382
32,2016,3,1.7386707380852113
33,2016,4,1.6903695671353922
34,2016,5,1.7695265810719034
35,2016,6,1.853676343058465
36,2016,7,1.8210309140985852
37,2016,8,1.8410990553904478
38,2016,9,1.8270520293348618
39,2016,10,1.919170742445427
40,2016,11,1.8700614198399512
41,2016,12,1.756061374198847
