,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,7,1
1,2013,8,3307
2,2013,9,3119
3,2013,10,1326
4,2013,11,507
5,2013,12,196
6,2014,1,77
7,2014,2,104
8,2014,3,369
9,2014,4,1397
10,2014,5,2921
11,2014,6,3342
12,2014,7,3791
13,2014,8,3131
14,2014,9,2358
15,2014,10,1378
16,2014,11,455
17,2014,12,300
18,2015,1,100
19,2015,2,65
20,2015,3,645
21,2015,4,1365
22,2015,5,2479
23,2015,6,3254
24,2015,7,4527
25,2015,8,3940
26,2015,9,3072
27,2015,10,1820
28,2015,11,991
29,2015,12,400
30,2016,1,274
31,2016,2,610
32,2016,3,894
33,2016,4,1488
34,2016,5,2956
35,2016,6,4383
36,2016,7,4635
37,2016,8,4179
38,2016,9,3494
39,2016,10,2097
40,2016,11,1225
41,2016,12,290
