,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,3
1,2013,7,55
2,2013,8,47
3,2013,9,1079
4,2013,10,1795
5,2013,11,644
6,2013,12,196
7,2014,1,105
8,2014,2,129
9,2014,3,504
10,2014,4,1483
11,2014,5,2754
12,2014,6,3551
13,2014,7,4601
14,2014,8,3857
15,2014,9,3124
16,2014,10,2175
17,2014,11,835
18,2014,12,534
19,2015,1,319
20,2015,2,132
21,2015,3,930
22,2015,4,1666
23,2015,5,2700
24,2015,6,3903
25,2015,7,5031
26,2015,8,4446
27,2015,9,3333
28,2015,10,2230
29,2015,11,1258
30,2015,12,695
31,2016,1,403
32,2016,2,601
33,2016,3,1223
34,2016,4,1928
35,2016,5,3127
36,2016,6,4403
37,2016,7,4785
38,2016,8,3881
39,2016,9,3592
40,2016,10,2694
41,2016,11,1602
42,2016,12,453
