,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,41
1,2013,7,998
2,2013,8,1073
3,2013,9,750
4,2013,10,603
5,2013,11,344
6,2013,12,138
7,2014,1,86
8,2014,2,73
9,2014,3,224
10,2014,4,450
11,2014,5,805
12,2014,6,1107
13,2014,7,1364
14,2014,8,1252
15,2014,9,978
16,2014,10,899
17,2014,11,428
18,2014,12,326
19,2015,1,195
20,2015,2,125
21,2015,3,454
22,2015,4,718
23,2015,5,1059
24,2015,6,1248
25,2015,7,1467
26,2015,8,1407
27,2015,9,1192
28,2015,10,1031
29,2015,11,591
30,2015,12,449
31,2016,1,332
32,2016,2,370
33,2016,3,553
34,2016,4,634
35,2016,5,1116
36,2016,6,1573
37,2016,7,1463
38,2016,8,1532
39,2016,9,1247
40,2016,10,1102
41,2016,11,836
42,2016,12,302
