,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,72
1,2013,7,908
2,2013,8,614
3,2013,9,595
4,2013,10,418
5,2013,11,162
6,2013,12,50
7,2014,1,14
8,2014,2,31
9,2014,3,112
10,2014,4,375
11,2014,5,762
12,2014,6,1063
13,2014,7,1171
14,2014,8,1150
15,2014,9,875
16,2014,10,636
17,2014,11,310
18,2014,12,262
19,2015,1,174
20,2015,2,75
21,2015,3,312
22,2015,4,426
23,2015,5,715
24,2015,6,967
25,2015,7,1203
26,2015,8,1116
27,2015,9,1040
28,2015,10,841
29,2015,11,489
30,2015,12,314
31,2016,1,281
32,2016,2,300
33,2016,3,507
34,2016,4,523
35,2016,5,819
36,2016,6,1138
37,2016,7,1216
38,2016,8,1191
39,2016,9,1079
40,2016,10,822
41,2016,11,603
42,2016,12,196
