,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,4,1.5769100222492118
1,2015,5,1.8283960332438904
2,2015,6,2.2804523956829588
3,2015,7,1.877801995054264
4,2015,8,2.1433440068374483
5,2015,9,1.9202328281783638
6,2015,10,1.7411056819571757
7,2015,11,2.1876386356720983
8,2015,12,1.701588246244507
9,2016,1,2.4794496059291093
10,2016,2,2.0833702718628357
11,2016,3,2.1045542155642667
12,2016,4,1.800333189299421
13,2016,5,1.9653254069170305
14,2016,6,2.6476089102280245
15,2016,7,2.1431334792266257
16,2016,8,2.182858942982302
17,2016,9,2.2488819622395635
18,2016,10,2.4507294428668565
19,2016,11,2.044400300303677
20,2016,12,3.1965966737428215
