,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,75
1,2013,10,280
2,2013,11,160
3,2013,12,78
4,2014,1,56
5,2014,2,65
6,2014,3,130
7,2014,4,231
8,2014,5,424
9,2014,6,611
10,2014,7,710
11,2014,8,744
12,2014,9,584
13,2014,10,573
14,2014,11,390
15,2014,12,271
16,2015,1,145
17,2015,2,106
18,2015,3,330
19,2015,4,442
20,2015,5,654
21,2015,6,771
22,2015,7,971
23,2015,8,858
24,2015,9,755
25,2015,10,642
26,2015,11,200
27,2015,12,180
28,2016,1,200
29,2016,2,199
30,2016,3,261
31,2016,4,307
32,2016,5,486
33,2016,6,757
34,2016,7,745
35,2016,8,767
36,2016,9,723
37,2016,10,655
38,2016,11,442
39,2016,12,160
