,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,161
1,2013,10,632
2,2013,11,337
3,2013,12,115
4,2014,1,131
5,2014,2,102
6,2014,3,178
7,2014,4,437
8,2014,5,1172
9,2014,6,1313
10,2014,7,1650
11,2014,8,1508
12,2014,9,1318
13,2014,10,960
14,2014,11,424
15,2014,12,309
16,2015,1,181
17,2015,2,124
18,2015,3,449
19,2015,4,672
20,2015,5,1152
21,2015,6,1558
22,2015,7,2012
23,2015,8,1980
24,2015,9,1649
25,2015,10,1333
26,2015,11,771
27,2015,12,435
28,2016,1,331
29,2016,2,433
30,2016,3,667
31,2016,4,708
32,2016,5,1246
33,2016,6,1777
34,2016,7,1889
35,2016,8,1826
36,2016,9,1442
37,2016,10,1115
38,2016,11,793
39,2016,12,334
