,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,181
1,2013,9,733
2,2013,10,493
3,2013,11,380
4,2013,12,218
5,2014,1,92
6,2014,2,106
7,2014,3,301
8,2014,4,592
9,2014,5,950
10,2014,6,1131
11,2014,7,1338
12,2014,8,1115
13,2014,9,1025
14,2014,10,763
15,2014,11,481
16,2014,12,334
17,2015,1,228
18,2015,2,130
19,2015,3,494
20,2015,4,716
21,2015,5,944
22,2015,6,1201
23,2015,7,1610
24,2015,8,1311
25,2015,9,1477
26,2015,10,1102
27,2015,11,647
28,2015,12,396
29,2016,1,236
30,2016,2,311
31,2016,3,578
32,2016,4,680
33,2016,5,1032
34,2016,6,1440
35,2016,7,1507
36,2016,8,1322
37,2016,9,1318
38,2016,10,1002
39,2016,11,697
40,2016,12,249
