,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,495
1,2013,9,1435
2,2013,10,921
3,2013,11,476
4,2013,12,240
5,2014,1,123
6,2014,2,146
7,2014,3,425
8,2014,4,855
9,2014,5,1527
10,2014,6,1969
11,2014,7,2291
12,2014,8,2259
13,2014,9,1955
14,2014,10,1461
15,2014,11,703
16,2014,12,502
17,2015,1,298
18,2015,2,164
19,2015,3,625
20,2015,4,954
21,2015,5,1424
22,2015,6,1866
23,2015,7,2822
24,2015,8,2754
25,2015,9,2446
26,2015,10,1889
27,2015,11,1279
28,2015,12,807
29,2016,1,575
30,2016,2,677
31,2016,3,1105
32,2016,4,1457
33,2016,5,1802
34,2016,6,2631
35,2016,7,2435
36,2016,8,2470
37,2016,9,2209
38,2016,10,1941
39,2016,11,1382
40,2016,12,600
