,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,7,1.83838951878473
1,2015,8,1.902506538138168
2,2015,9,1.811333994792358
3,2015,10,1.568144218156224
4,2015,11,1.5947387396914254
5,2015,12,1.3194203013091488
6,2016,1,1.3049371934624663
7,2016,2,1.5228995163479147
8,2016,3,1.6775793571460955
9,2016,4,1.7587701255985468
10,2016,5,1.9079020551623853
11,2016,6,2.0693315349377763
12,2016,7,1.8451053726288145
13,2016,8,1.8545551003473164
14,2016,9,1.83680007397824
15,2016,10,1.821359196680368
16,2016,11,1.7869089046076099
17,2016,12,1.2630265730069061
