,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,1655
1,2013,10,2414
2,2013,11,1080
3,2013,12,549
4,2014,1,299
5,2014,2,306
6,2014,3,940
7,2014,4,2244
8,2014,5,4617
9,2014,6,5625
10,2014,7,6532
11,2014,8,5799
12,2014,9,4355
13,2014,10,3514
14,2014,11,1335
15,2014,12,990
16,2015,1,721
17,2015,2,399
18,2015,3,1381
19,2015,4,2237
20,2015,5,3190
21,2015,6,5052
22,2015,7,7300
23,2015,8,5381
24,2015,9,4490
25,2015,10,3375
26,2015,11,1803
27,2015,12,930
28,2016,1,653
29,2016,2,987
30,2016,3,1755
31,2016,4,2229
32,2016,5,3794
33,2016,6,4758
34,2016,7,5864
35,2016,8,5202
36,2016,9,4799
37,2016,10,3668
38,2016,11,2207
39,2016,12,697
