,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,8,23.236892510005713
1,2013,9,19.899298916507323
2,2013,10,15.659614480488987
3,2013,11,16.307163927517934
4,2013,12,11.03669410150891
5,2014,1,10.205028248587569
6,2014,2,9.90325203252033
7,2014,3,14.337760038703431
8,2014,4,18.72555641821945
9,2014,5,19.725608389369214
10,2014,6,18.67423456790117
11,2014,7,19.770427086260238
12,2014,8,19.504371187917524
13,2014,9,16.616660377358475
14,2014,10,14.981714152265285
15,2014,11,11.571805555555564
16,2014,12,11.168561484918811
17,2015,1,10.873155416012557
18,2015,2,9.70717054263566
19,2015,3,13.775559701492538
20,2015,4,16.49233606557376
21,2015,5,19.75216767881241
22,2015,6,16.990182748537993
23,2015,7,17.36245464852604
24,2015,8,16.23051973427123
25,2015,9,17.704568527918752
26,2015,10,15.168958818958814
27,2015,11,13.28367514356028
28,2015,12,11.510137254901952
29,2016,1,10.18847381864623
30,2016,2,10.637968441814596
31,2016,3,13.192016693591809
32,2016,4,15.281397544853666
33,2016,5,17.98312128922818
34,2016,6,18.253570621468935
35,2016,7,18.97551648788239
36,2016,8,18.802764612954206
37,2016,9,15.55048603420696
38,2016,10,15.81934857934858
39,2016,11,13.224629407051294
40,2016,12,9.724349157733542
