,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,1166
1,2013,9,1569
2,2013,10,1418
3,2013,11,791
4,2013,12,486
5,2014,1,295
6,2014,2,328
7,2014,3,689
8,2014,4,1288
9,2014,5,2082
10,2014,6,2700
11,2014,7,3559
12,2014,8,3443
13,2014,9,2650
14,2014,10,2141
15,2014,11,1080
16,2014,12,862
17,2015,1,637
18,2015,2,344
19,2015,3,804
20,2015,4,1220
21,2015,5,1976
22,2015,6,2280
23,2015,7,2940
24,2015,8,2559
25,2015,9,2561
26,2015,10,2145
27,2015,11,1219
28,2015,12,850
29,2016,1,522
30,2016,2,676
31,2016,3,1238
32,2016,4,1412
33,2016,5,2358
34,2016,6,2950
35,2016,7,3356
36,2016,8,3165
37,2016,9,2709
38,2016,10,2405
39,2016,11,1664
40,2016,12,653
