,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,6,1.2717827341593022
1,2013,7,1.44045715328979
2,2013,8,1.4123641656029409
3,2013,9,1.4929986474252912
4,2013,10,1.5135497469845216
5,2013,11,1.5286306138674273
6,2013,12,1.6261950445962967
7,2014,1,1.4470274530984215
8,2014,2,1.5002358701422613
9,2014,3,1.4570831872301573
10,2014,4,1.486175066752551
11,2014,5,1.5526830996975778
12,2014,6,1.538506733357816
13,2014,7,1.5432814486567266
14,2014,8,1.439856048082615
15,2014,9,1.514437254274007
16,2014,10,1.5430341976685358
17,2014,11,1.431574378924
18,2014,12,1.4765914600371806
19,2015,1,1.5570429933556704
20,2015,2,1.4774087964646183
21,2015,3,1.6670948404988681
22,2015,4,1.574017711556729
23,2015,5,1.5238388297064611
24,2015,6,1.5266437489178906
25,2015,7,1.511842425354868
26,2015,8,1.486312006269633
27,2015,9,1.5498524644954899
28,2015,10,1.5365800569097934
29,2015,11,1.5695425151508442
30,2015,12,1.6218022502412883
31,2016,1,1.703461624766774
32,2016,2,1.6796676636190746
33,2016,3,1.5851404225617636
34,2016,4,1.6305442772393257
35,2016,5,1.5691599531197422
36,2016,6,1.556687684301675
37,2016,7,1.4810438505851
38,2016,8,1.5084114649253115
39,2016,9,1.5394362157515897
40,2016,10,1.5625706795408931
41,2016,11,1.62224485246139
42,2016,12,1.50823747322073
